datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:10:19,3464,85,215,60,0,14,24,18,4,0,0,0,0,0,0
2021-02-03 07:11:49,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:13:19,1303,85,173,26,0,11,7,8,0,0,0,0,0,0,0
2021-02-03 07:14:49,2362,85,213,44,0,14,16,14,0,0,0,0,0,0,0
2021-02-03 07:16:19,1866,85,173,36,0,12,12,12,0,0,0,0,0,0,0
2021-02-03 07:17:49,3994,85,213,68,0,10,25,21,0,4,4,4,0,0,0
2021-02-03 07:19:19,3725,85,173,66,0,16,23,21,3,0,0,0,3,0,0
2021-02-03 07:20:49,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:22:19,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:23:49,1596,85,173,32,0,14,10,8,0,0,0,0,0,0,0
2021-02-03 07:25:19,2174,85,213,40,0,11,14,15,0,0,0,0,0,0,0
2021-02-03 07:26:49,3279,85,173,58,0,12,23,19,0,4,0,0,0,0,0
2021-02-03 07:28:19,3108,85,213,52,0,10,16,18,0,0,4,4,0,0,0
2021-02-03 07:29:49,4052,85,173,72,0,16,24,23,4,0,0,0,5,0,0
2021-02-03 07:31:19,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:32:49,1656,85,173,32,0,12,10,10,0,0,0,0,0,0,0
2021-02-03 07:34:19,2362,85,213,44,0,14,16,14,0,0,0,0,0,0,0
2021-02-03 07:35:49,1503,85,173,30,0,12,9,9,0,0,0,0,0,0,0
2021-02-03 07:37:19,4760,85,213,80,0,11,30,27,0,4,4,4,0,0,0
2021-02-03 07:38:49,4214,85,215,72,0,16,25,23,4,0,0,0,4,0,0
2021-02-03 07:40:19,1303,85,173,26,0,11,7,8,0,0,0,0,0,0,0
2021-02-03 07:41:49,1656,85,173,32,0,12,10,10,0,0,0,0,0,0,0
2021-02-03 07:43:19,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:44:49,2562,85,213,48,0,15,17,16,0,0,0,0,0,0,0
2021-02-03 07:46:19,1408,85,173,28,0,11,8,9,0,0,0,0,0,0,0
2021-02-03 07:47:49,4979,85,213,82,0,11,31,30,0,4,2,4,0,0,0
2021-02-03 07:49:19,3898,85,173,68,0,16,24,22,3,0,0,0,3,0,0
2021-02-03 07:50:49,1561,85,173,30,0,11,9,10,0,0,0,0,0,0,0
2021-02-03 07:52:19,1398,85,173,28,0,12,8,8,0,0,0,0,0,0,0
2021-02-03 07:53:49,2352,85,213,44,0,15,15,14,0,0,0,0,0,0,0
2021-02-03 07:55:19,1866,85,173,36,0,12,12,12,0,0,0,0,0,0,0
2021-02-03 07:56:49,2843,85,213,50,0,11,19,16,0,4,0,0,0,0,0
2021-02-03 07:58:19,3142,85,173,56,0,12,18,18,0,0,4,4,0,0,0
2021-02-03 07:59:49,5819,85,173,106,0,29,37,31,4,0,0,0,5,0,0
