datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:10:49,3920,19,215,76,0,18,30,20,8,0,0,0,0,0,0
2021-02-03 07:12:49,2104,85,173,40,0,14,12,14,0,0,0,0,0,0,0
2021-02-03 07:14:49,2742,85,213,52,0,18,18,16,0,0,0,0,0,0,0
2021-02-03 07:16:49,2992,19,213,60,0,15,22,16,0,7,0,0,0,0,0
2021-02-03 07:18:49,4921,19,173,102,0,19,31,32,0,0,8,7,5,0,0
2021-02-03 07:20:49,3499,19,173,66,0,15,25,21,5,0,0,0,0,0,0
2021-02-03 07:22:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:24:49,3010,85,213,56,0,17,20,19,0,0,0,0,0,0,0
2021-02-03 07:26:49,3735,19,173,74,0,16,29,21,0,8,0,0,0,0,0
2021-02-03 07:28:49,6408,19,213,132,0,18,42,41,8,0,8,7,8,0,0
2021-02-03 07:30:49,2199,85,173,42,0,15,13,14,0,0,0,0,0,0,0
2021-02-03 07:32:49,2036,85,173,40,0,16,12,12,0,0,0,0,0,0,0
2021-02-03 07:34:49,2742,85,213,52,0,18,18,16,0,0,0,0,0,0,0
2021-02-03 07:36:49,3577,19,213,70,0,15,27,20,0,8,0,0,0,0,0
2021-02-03 07:38:49,6862,19,215,140,0,20,47,43,8,0,8,7,7,0,0
2021-02-03 07:40:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:42:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:44:49,3200,85,213,60,0,19,21,20,0,0,0,0,0,0,0
2021-02-03 07:46:49,3659,19,173,74,0,15,29,22,0,8,0,0,0,0,0
2021-02-03 07:48:49,6292,19,213,124,0,19,41,40,6,0,6,7,5,0,0
2021-02-03 07:50:49,2199,85,173,42,0,15,13,14,0,0,0,0,0,0,0
2021-02-03 07:52:49,2036,85,173,40,0,16,12,12,0,0,0,0,0,0,0
2021-02-03 07:54:49,2837,85,213,54,0,19,18,17,0,0,0,0,0,0,0
2021-02-03 07:56:49,3662,19,213,72,0,15,28,21,0,8,0,0,0,0,0
2021-02-03 07:58:49,6432,19,173,136,0,19,44,42,8,0,8,7,8,0,0
2021-02-03 08:00:49,4241,85,173,82,0,34,28,20,0,0,0,0,0,0,0
2021-02-03 08:02:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 08:04:49,3200,85,213,60,0,19,21,20,0,0,0,0,0,0,0
2021-02-03 08:06:49,3769,19,173,78,0,14,32,19,0,13,0,0,0,0,0
2021-02-03 08:08:49,5664,19,215,116,0,20,35,36,3,0,8,7,7,0,0
2021-02-03 08:10:49,2199,85,173,42,0,15,13,14,0,0,0,0,0,0,0
2021-02-03 08:12:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 08:14:49,2942,85,213,56,0,19,19,18,0,0,0,0,0,0,0
2021-02-03 08:16:49,3575,19,213,66,0,15,25,19,0,4,3,0,0,0,0
2021-02-03 08:18:49,5701,19,173,118,0,19,38,40,4,0,5,7,5,0,0
2021-02-03 08:20:49,1846,85,173,36,0,14,10,12,0,0,0,0,0,0,0
2021-02-03 08:22:49,2036,85,173,40,0,16,12,12,0,0,0,0,0,0,0
2021-02-03 08:24:49,3105,85,213,58,0,18,21,19,0,0,0,0,0,0,0
2021-02-03 08:26:49,4076,19,213,80,0,16,32,21,0,8,3,0,0,0,0
2021-02-03 08:28:49,5990,19,213,128,0,19,40,40,9,0,5,7,8,0,0
2021-02-03 08:30:49,2009,85,173,38,0,13,13,12,0,0,0,0,0,0,0
2021-02-03 08:32:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 08:34:49,3122,85,213,60,0,20,21,19,0,0,0,0,0,0,0
2021-02-03 08:36:49,5061,19,213,98,0,16,40,28,0,9,5,0,0,0,0
2021-02-03 08:38:49,5392,19,215,112,0,19,34,34,8,0,4,7,6,0,0
2021-02-03 08:40:49,1846,85,173,36,0,14,10,12,0,0,0,0,0,0,0
2021-02-03 08:42:49,2104,85,173,40,0,14,13,13,0,0,0,0,0,0,0
2021-02-03 08:44:49,2942,85,213,56,0,19,19,18,0,0,0,0,0,0,0
2021-02-03 08:46:49,3965,19,213,78,0,15,31,23,0,8,1,0,0,0,0
2021-02-03 08:48:49,5289,19,213,110,0,20,34,34,6,0,4,7,5,0,0
2021-02-03 08:50:49,2189,85,173,42,0,14,14,14,0,0,0,0,0,0,0
2021-02-03 08:52:49,1941,85,173,38,0,15,12,11,0,0,0,0,0,0,0
2021-02-03 08:54:49,2942,85,213,56,0,19,19,18,0,0,0,0,0,0,0
2021-02-03 08:56:49,5262,19,213,104,0,15,44,29,0,8,8,0,0,0,0
2021-02-03 08:58:49,4398,19,173,96,0,19,25,30,7,0,0,7,8,0,0
2021-02-03 09:00:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 09:02:49,2724,85,173,52,0,18,17,17,0,0,0,0,0,0,0
2021-02-03 09:04:49,4418,85,213,84,0,31,31,22,0,0,0,0,0,0,0
2021-02-03 09:06:49,4918,19,213,100,0,15,42,26,0,8,9,0,0,0,0
2021-02-03 09:08:49,5226,19,215,104,0,19,32,34,8,0,0,4,7,0,0
2021-02-03 09:10:49,8644,19,173,196,0,15,77,50,0,0,41,13,0,0,0
2021-02-03 09:12:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 09:14:49,2847,85,213,54,0,18,19,17,0,0,0,0,0,0,0
2021-02-03 09:16:49,4202,19,213,80,0,16,32,24,0,8,0,0,0,0,0
2021-02-03 09:18:49,4515,19,209,90,0,19,29,29,6,0,0,0,7,0,0
2021-02-03 09:20:49,3723,19,173,78,0,14,24,25,0,0,8,7,0,0,0
2021-02-03 09:22:49,2682,85,173,52,0,20,17,15,0,0,0,0,0,0,0
2021-02-03 09:24:49,2554,85,213,48,0,15,16,17,0,0,0,0,0,0,0
2021-02-03 09:26:49,3314,19,173,68,0,15,26,20,0,7,0,0,0,0,0
2021-02-03 09:28:49,4773,19,215,94,0,20,33,28,8,0,0,0,5,0,0
2021-02-03 09:30:49,3775,19,213,74,0,14,26,22,0,0,8,4,0,0,0
2021-02-03 09:32:49,2732,85,213,52,0,19,17,16,0,0,0,0,0,0,0
2021-02-03 09:34:49,2151,85,173,42,0,15,13,14,0,0,0,0,0,0,0
2021-02-03 09:36:49,3446,19,213,68,0,15,26,21,0,6,0,0,0,0,0
