datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:11:49,5101,19,215,98,0,25,37,28,8,0,0,0,0,0,0
2021-02-03 07:14:49,3665,85,213,70,0,25,23,22,0,0,0,0,0,0,0
2021-02-03 07:17:49,6050,19,213,124,0,22,44,36,0,7,8,7,0,0,0
2021-02-03 07:20:49,5362,19,173,104,0,27,34,33,5,0,0,0,5,0,0
2021-02-03 07:23:49,3157,85,173,62,0,25,19,18,0,0,0,0,0,0,0
2021-02-03 07:26:49,5529,19,213,106,0,23,41,34,0,8,0,0,0,0,0
2021-02-03 07:29:49,7426,19,213,152,0,26,48,47,8,0,8,7,8,0,0
2021-02-03 07:32:49,3217,85,173,62,0,23,19,20,0,0,0,0,0,0,0
2021-02-03 07:35:49,3865,85,213,74,0,26,25,23,0,0,0,0,0,0,0
2021-02-03 07:38:49,9316,19,215,188,0,27,67,56,8,8,8,7,7,0,0
2021-02-03 07:41:49,2959,85,173,58,0,23,17,18,0,0,0,0,0,0,0
2021-02-03 07:44:49,4123,85,213,78,0,26,26,26,0,0,0,0,0,0,0
2021-02-03 07:47:49,6596,19,213,132,0,22,47,42,0,8,6,7,0,0,0
2021-02-03 07:50:49,5554,19,173,108,0,27,36,34,6,0,0,0,5,0,0
2021-02-03 07:53:49,3750,85,213,72,0,27,23,22,0,0,0,0,0,0,0
2021-02-03 07:56:49,4785,19,213,94,0,23,35,28,0,8,0,0,0,0,0
2021-02-03 07:59:49,9227,19,173,190,0,41,63,55,8,0,8,7,8,0,0
2021-02-03 08:02:49,3387,85,173,66,0,27,20,19,0,0,0,0,0,0,0
2021-02-03 08:05:49,4133,85,213,78,0,25,27,26,0,0,0,0,0,0,0
2021-02-03 08:08:49,8500,19,215,176,0,28,61,49,3,13,8,7,7,0,0
2021-02-03 08:11:49,3217,85,173,62,0,23,19,20,0,0,0,0,0,0,0
2021-02-03 08:14:49,3865,85,213,74,0,26,24,24,0,0,0,0,0,0,0
2021-02-03 08:17:49,6123,19,213,122,0,23,42,38,0,4,8,7,0,0,0
2021-02-03 08:20:49,4999,19,173,98,0,25,31,33,4,0,0,0,5,0,0
2021-02-03 08:23:49,4018,85,213,76,0,26,26,24,0,0,0,0,0,0,0
2021-02-03 08:26:49,5199,19,213,102,0,24,39,28,0,8,3,0,0,0,0
2021-02-03 08:29:49,7171,19,213,150,0,26,47,48,9,0,5,7,8,0,0
2021-02-03 08:32:49,2769,85,173,54,0,21,17,16,0,0,0,0,0,0,0
2021-02-03 08:35:49,4245,85,213,82,0,28,27,27,0,0,0,0,0,0,0
2021-02-03 08:38:49,9330,19,215,188,0,27,68,54,8,9,9,7,6,0,0
2021-02-03 08:41:49,2674,85,173,52,0,20,15,17,0,0,0,0,0,0,0
2021-02-03 08:44:49,4218,85,213,80,0,27,27,26,0,0,0,0,0,0,0
