datetime,len_sum,smallest,largest,count_sum,0xffff,0xbfb8,0x0000,0xbfb8,0x0e91,0x0000,0x0e91,0xab52,0xab52,0x0cd0,0x0cd0,0x469a,0x469a,0x6493,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:33:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:33:49,1429,85,213,13,8,8,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:34:19,648,85,173,6,3,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:34:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:35:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:35:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:36:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:36:49,1711,19,213,17,3,7,4,8,0,4,0,6,2,0,0,0,0,0,0,0,0
2021-02-03 07:37:19,2515,19,173,27,4,9,7,9,0,10,0,0,0,6,2,5,2,0,0,0,0
2021-02-03 07:37:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:38:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:38:49,3329,19,215,33,8,13,9,10,6,11,2,0,0,0,0,0,0,5,2,0,0
2021-02-03 07:39:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:39:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:40:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:40:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:41:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:41:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:42:19,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:42:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:43:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:43:49,1534,85,213,14,8,9,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:44:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:44:49,648,85,173,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:45:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:45:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:46:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:46:49,2251,19,173,23,4,10,7,11,0,6,0,6,2,0,0,0,0,0,0,0,0
2021-02-03 07:47:19,2652,19,213,26,4,8,7,9,0,11,0,0,0,6,0,5,2,0,0,0,0
2021-02-03 07:47:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:48:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:48:49,2717,19,173,27,8,12,6,7,5,10,1,0,0,0,0,0,0,4,1,0,0
2021-02-03 07:49:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:49:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:50:19,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:50:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:51:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:51:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:52:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:52:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:53:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:53:49,1334,85,213,12,7,7,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:54:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:54:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:55:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:55:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:56:19,570,85,105,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:56:49,1969,19,213,19,3,8,5,9,0,5,0,6,2,0,0,0,0,0,0,0,0
2021-02-03 07:57:19,2257,19,167,25,4,8,6,8,0,9,0,0,0,6,2,5,2,0,0,0,0
2021-02-03 07:57:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:58:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:58:49,3157,19,173,33,7,12,10,10,6,11,2,0,0,0,0,0,0,5,3,0,0
2021-02-03 07:59:19,1000,89,109,10,9,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 07:59:49,1795,85,173,17,13,11,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:00:19,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:00:49,903,95,107,9,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:01:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:01:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:02:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:02:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:03:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
