datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:12:49,6024,19,215,116,0,32,42,34,8,0,0,0,0,0,0
2021-02-03 07:16:49,5734,19,213,112,0,33,40,32,0,7,0,0,0,0,0
2021-02-03 07:20:49,8420,19,173,168,0,34,56,53,5,0,8,7,5,0,0
2021-02-03 07:24:49,4951,85,213,94,0,32,31,31,0,0,0,0,0,0,0
2021-02-03 07:28:49,10143,19,213,206,0,34,71,62,8,8,8,7,8,0,0
2021-02-03 07:32:49,4235,85,173,82,0,31,25,26,0,0,0,0,0,0,0
2021-02-03 07:36:49,6319,19,213,122,0,33,45,36,0,8,0,0,0,0,0
2021-02-03 07:40:49,8803,19,215,178,0,35,58,55,8,0,8,7,7,0,0
2021-02-03 07:44:49,5141,85,213,98,0,34,32,32,0,0,0,0,0,0,0
2021-02-03 07:48:49,9951,19,213,198,0,34,70,62,6,8,6,7,5,0,0
2021-02-03 07:52:49,4235,85,173,82,0,31,25,26,0,0,0,0,0,0,0
2021-02-03 07:56:49,6499,19,213,126,0,34,46,38,0,8,0,0,0,0,0
2021-02-03 08:00:49,10673,19,173,218,0,53,72,62,8,0,8,7,8,0,0
2021-02-03 08:04:49,5141,85,213,98,0,34,32,32,0,0,0,0,0,0,0
2021-02-03 08:08:49,9433,19,215,194,0,34,67,55,3,13,8,7,7,0,0
2021-02-03 08:12:49,4140,85,173,80,0,30,24,26,0,0,0,0,0,0,0
2021-02-03 08:16:49,6517,19,213,122,0,34,44,37,0,4,3,0,0,0,0
2021-02-03 08:20:49,7547,19,173,154,0,33,48,52,4,0,5,7,5,0,0
2021-02-03 08:24:49,5141,85,213,98,0,34,33,31,0,0,0,0,0,0,0
2021-02-03 08:28:49,10066,19,213,208,0,35,72,61,9,8,8,7,8,0,0
2021-02-03 08:32:49,3950,85,173,76,0,28,24,24,0,0,0,0,0,0,0
2021-02-03 08:36:49,8183,19,213,158,0,36,61,47,0,9,5,0,0,0,0
2021-02-03 08:40:49,7238,19,215,148,0,33,44,46,8,0,4,7,6,0,0
2021-02-03 08:44:49,5046,85,213,96,0,33,32,31,0,0,0,0,0,0,0
2021-02-03 08:48:49,9254,19,213,188,0,35,65,57,6,8,5,7,5,0,0
2021-02-03 08:52:49,4130,85,173,80,0,29,26,25,0,0,0,0,0,0,0
2021-02-03 08:56:49,8204,19,213,160,0,34,63,47,0,8,8,0,0,0,0
2021-02-03 09:00:49,6339,19,173,134,0,34,36,42,7,0,0,7,8,0,0
2021-02-03 09:04:49,7142,85,213,136,0,49,48,39,0,0,0,0,0,0,0
2021-02-03 09:08:49,10144,19,215,204,0,34,74,60,8,8,9,4,7,0,0
2021-02-03 09:12:49,10585,19,173,234,0,30,88,62,0,0,41,13,0,0,0
2021-02-03 09:16:49,7049,19,213,134,0,34,51,41,0,8,0,0,0,0,0
2021-02-03 09:20:49,8238,19,209,168,0,33,53,54,6,0,8,7,7,0,0
2021-02-03 09:24:49,5236,85,213,100,0,35,33,32,0,0,0,0,0,0,0
2021-02-03 09:28:49,8087,19,215,162,0,35,59,48,8,7,0,0,5,0,0
