datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0e91,0xab52,0x0cd0,0x469a,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 07:10:49,3844,85,215,68,0,18,26,20,4,0,0,0,0,0,0
2021-02-03 07:12:49,2104,85,173,40,0,14,12,14,0,0,0,0,0,0,0
2021-02-03 07:14:49,2742,85,213,52,0,18,18,16,0,0,0,0,0,0,0
2021-02-03 07:16:49,2935,85,213,54,0,15,19,16,0,4,0,0,0,0,0
2021-02-03 07:18:49,4750,85,173,84,0,19,27,27,0,0,4,4,3,0,0
2021-02-03 07:20:49,3461,85,173,62,0,15,23,21,3,0,0,0,0,0,0
2021-02-03 07:22:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:24:49,3010,85,213,56,0,17,20,19,0,0,0,0,0,0,0
2021-02-03 07:26:49,3659,85,173,66,0,16,25,21,0,4,0,0,0,0,0
2021-02-03 07:28:49,6142,85,213,104,0,18,34,35,4,0,4,4,5,0,0
2021-02-03 07:30:49,2199,85,173,42,0,15,13,14,0,0,0,0,0,0,0
2021-02-03 07:32:49,2036,85,173,40,0,16,12,12,0,0,0,0,0,0,0
2021-02-03 07:34:49,2742,85,213,52,0,18,18,16,0,0,0,0,0,0,0
2021-02-03 07:36:49,3501,85,213,62,0,15,23,20,0,4,0,0,0,0,0
2021-02-03 07:38:49,6596,85,215,112,0,20,39,37,4,0,4,4,4,0,0
2021-02-03 07:40:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:42:49,1941,85,173,38,0,15,11,12,0,0,0,0,0,0,0
2021-02-03 07:44:49,3200,85,213,60,0,19,21,20,0,0,0,0,0,0,0
2021-02-03 07:46:49,3583,85,173,66,0,15,25,22,0,4,0,0,0,0,0
2021-02-03 07:48:49,6064,85,213,100,0,19,34,35,3,0,2,4,3,0,0
