datetime,len_sum,smallest,largest,count_sum,occupied,0x0000,0xbfb8,0xab52,0xffff,0x6493,0x0e91,0x469a,0x0cd0,0xdfb8,0x0e910db012dbfe91
2021-02-03 10:08:29,4308,19,215,46,0,26,30,4,18,8,6,0,0,0,0
2021-02-03 10:10:14,1751,85,173,17,0,11,10,0,13,0,0,0,0,0,0
2021-02-03 10:11:59,3510,19,213,36,0,21,22,0,14,0,0,7,8,0,0
2021-02-03 10:13:44,2647,85,213,25,0,16,17,0,17,0,0,0,0,0,0
2021-02-03 10:15:29,2056,85,173,20,0,13,13,0,14,0,0,0,0,0,0
2021-02-03 10:17:14,3349,19,213,31,0,20,24,5,13,0,0,0,0,0,0
2021-02-03 10:18:59,4491,19,173,45,0,29,31,0,17,6,7,0,0,0,0
2021-02-03 10:20:44,3448,19,173,36,0,22,24,0,12,0,0,6,8,0,0
2021-02-03 10:22:29,2637,85,213,25,0,15,17,0,18,0,0,0,0,0,0
2021-02-03 10:24:14,1961,85,173,19,0,13,12,0,13,0,0,0,0,0,0
2021-02-03 10:25:59,2056,85,173,20,0,13,13,0,14,0,0,0,0,0,0
2021-02-03 10:27:44,4961,19,173,51,0,30,39,8,17,4,4,0,0,0,0
2021-02-03 10:29:29,1846,85,173,18,0,11,11,0,14,0,0,0,0,0,0
2021-02-03 10:31:14,3441,19,213,35,0,22,21,0,13,0,0,7,7,0,0
2021-02-03 10:32:59,2647,85,213,25,0,15,18,0,17,0,0,0,0,0,0
2021-02-03 10:34:44,1961,85,173,19,0,13,12,0,13,0,0,0,0,0,0
2021-02-03 10:36:29,6904,19,215,80,1,58,35,0,14,18,0,20,15,0,0
2021-02-03 10:38:14,4588,19,215,44,1,24,33,7,17,3,4,0,0,0,0
2021-02-03 10:39:59,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 10:41:44,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 10:43:29,2847,85,213,27,1,17,19,0,18,0,0,0,0,0,0
2021-02-03 10:45:14,3250,19,173,32,1,19,25,0,12,0,0,0,8,0,0
2021-02-03 10:46:59,3552,19,173,38,1,23,25,9,12,0,0,7,0,0,0
2021-02-03 10:48:44,4218,19,173,44,1,28,29,0,18,7,6,0,0,0,0
2021-02-03 10:50:29,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 10:52:14,2552,85,213,24,1,16,16,0,16,0,0,0,0,0,0
2021-02-03 10:53:59,2056,85,173,20,1,13,13,0,14,0,0,0,0,0,0
2021-02-03 10:55:44,4037,19,213,39,1,25,26,0,13,0,0,6,8,0,0
2021-02-03 10:57:29,5658,19,215,56,1,30,43,8,18,5,8,0,0,0,0
2021-02-03 10:59:14,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 11:00:59,1751,85,173,17,1,10,11,0,13,0,0,0,0,0,0
2021-02-03 11:02:44,2647,85,213,25,1,16,17,0,17,0,0,0,0,0,0
2021-02-03 11:04:29,2056,85,173,20,1,13,13,0,14,0,0,0,0,0,0
2021-02-03 11:06:14,3543,19,173,37,1,23,24,0,13,0,0,6,8,0,0
2021-02-03 11:07:59,5442,19,215,56,1,34,40,8,17,8,5,0,0,0,0
2021-02-03 11:09:44,3542,85,173,34,1,18,24,0,26,0,0,0,0,0,0
2021-02-03 11:11:29,2274,85,173,22,1,12,14,0,18,0,0,0,0,0,0
2021-02-03 11:13:14,2369,85,173,23,1,14,15,0,17,0,0,0,0,0,0
2021-02-03 11:14:59,3554,19,213,34,1,20,27,0,13,0,0,0,8,0,0
2021-02-03 11:16:44,3201,19,213,33,1,20,19,6,14,0,0,7,0,0,0
2021-02-03 11:18:29,4277,19,173,43,1,28,28,0,17,7,6,0,0,0,0
2021-02-03 11:20:14,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 11:21:59,2637,85,213,25,1,15,17,0,18,0,0,0,0,0,0
2021-02-03 11:23:44,1876,85,173,18,1,12,11,0,13,0,0,0,0,0,0
2021-02-03 11:25:29,3083,19,173,31,1,18,24,0,12,0,0,0,8,0,0
2021-02-03 11:27:14,5707,19,215,59,1,35,38,8,17,5,6,7,0,1,1
2021-02-03 11:28:59,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 11:30:44,5655,19,173,65,0,39,42,0,13,0,0,16,20,0,0
2021-02-03 11:32:29,2389,85,213,23,0,14,15,0,17,0,0,0,0,0,0
2021-02-03 11:34:14,2056,85,173,20,0,13,13,0,14,0,0,0,0,0,0
2021-02-03 11:35:59,1961,85,173,19,0,13,12,0,13,0,0,0,0,0,0
2021-02-03 11:37:44,5051,19,215,51,0,30,35,8,18,8,3,0,0,0,0
2021-02-03 11:39:29,1751,85,173,17,0,11,10,0,13,0,0,0,0,0,0
2021-02-03 11:41:14,3514,19,213,34,0,19,21,0,13,0,0,6,9,0,0
2021-02-03 11:42:59,2742,85,213,26,0,16,18,0,18,0,0,0,0,0,0
2021-02-03 11:44:44,1961,85,173,19,0,13,12,0,13,0,0,0,0,0,0
2021-02-03 11:46:29,2522,19,173,26,0,20,12,0,13,7,0,0,0,0,0
2021-02-03 11:48:14,4759,19,173,47,0,24,39,7,17,0,7,0,0,0,0
2021-02-03 11:49:59,3723,19,173,39,0,24,25,0,14,0,0,7,8,0,0
2021-02-03 11:51:44,2542,85,213,24,0,15,16,0,17,0,0,0,0,0,0
2021-02-03 11:53:29,1866,85,173,18,0,12,12,0,12,0,0,0,0,0,0
2021-02-03 11:55:14,1961,85,173,19,0,13,12,0,13,0,0,0,0,0,0
2021-02-03 11:56:59,8287,19,213,89,1,55,61,8,18,12,6,8,10,0,0
2021-02-03 11:58:44,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 12:00:29,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 12:02:14,2552,85,213,24,1,14,16,0,18,0,0,0,0,0,0
2021-02-03 12:03:59,1961,85,173,19,1,13,12,0,13,0,0,0,0,0,0
2021-02-03 12:05:44,2056,85,173,20,1,13,13,0,14,0,0,0,0,0,0
2021-02-03 12:07:29,7409,19,215,75,1,46,54,7,16,7,5,7,8,0,0
2021-02-03 12:09:14,1656,85,173,16,1,10,10,0,12,0,0,0,0,0,0
2021-02-03 12:10:59,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 12:12:44,5425,85,213,51,1,28,37,0,37,0,0,0,0,0,0
2021-02-03 12:14:29,1961,85,173,19,1,13,12,0,13,0,0,0,0,0,0
2021-02-03 12:16:14,2352,19,173,24,1,17,13,0,14,4,0,0,0,0,0
2021-02-03 12:17:59,6790,19,213,70,1,41,54,7,17,1,5,7,8,0,0
2021-02-03 12:19:44,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 12:21:29,2647,85,213,25,1,16,17,0,17,0,0,0,0,0,0
2021-02-03 12:23:14,1866,85,173,18,1,13,11,0,12,0,0,0,0,0,0
2021-02-03 12:24:59,1961,85,173,19,1,13,12,0,13,0,0,0,0,0,0
2021-02-03 12:26:44,7812,19,213,82,1,48,59,8,17,8,9,7,8,0,0
2021-02-03 12:28:29,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 12:30:14,1924,85,173,18,1,12,11,0,13,0,0,0,0,0,0
2021-02-03 12:31:59,2647,85,213,25,1,16,17,0,17,0,0,0,0,0,0
2021-02-03 12:33:44,1866,85,173,18,1,12,12,0,12,0,0,0,0,0,0
2021-02-03 12:35:29,1866,85,173,18,1,13,11,0,12,0,0,0,0,0,0
2021-02-03 12:37:14,7142,19,215,72,1,38,53,8,18,6,7,5,9,0,0
2021-02-03 12:38:59,1656,85,173,16,1,10,10,0,12,0,0,0,0,0,0
2021-02-03 12:40:44,1751,85,173,17,1,11,10,0,13,0,0,0,0,0,0
2021-02-03 12:42:29,2667,85,213,25,1,16,17,0,17,0,0,0,0,0,0
2021-02-03 12:44:14,2056,85,173,20,1,13,13,0,14,0,0,0,0,0,0
2021-02-03 12:45:59,2257,19,173,23,1,17,12,0,13,4,0,0,0,0,0
2021-02-03 12:47:44,6552,19,213,66,1,36,51,8,16,1,6,7,7,0,0
2021-02-03 12:49:29,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 12:51:14,2542,85,213,24,1,15,16,0,17,0,0,0,0,0,0
2021-02-03 12:52:59,8483,19,173,97,1,52,72,0,13,10,0,8,39,0,0
2021-02-03 12:54:44,1561,85,173,15,1,9,10,0,11,0,0,0,0,0,0
2021-02-03 12:56:29,4324,19,215,42,1,27,29,0,16,5,7,0,0,0,0
2021-02-03 12:58:14,2386,19,213,24,1,12,18,7,11,0,0,0,0,0,0
2021-02-03 12:59:59,1846,85,173,18,1,11,11,0,14,0,0,0,0,0,0
2021-02-03 13:01:44,2550,85,213,24,1,15,17,0,16,0,0,0,0,0,0
2021-02-03 13:03:29,3648,19,173,38,1,24,25,0,13,0,0,6,8,0,0
2021-02-03 13:05:14,3413,19,173,37,1,21,26,0,13,0,0,4,10,0,0
2021-02-03 13:06:59,13801,19,215,159,1,85,119,8,18,4,6,28,50,0,0
2021-02-03 13:08:44,12073,19,173,135,1,55,128,0,13,0,0,0,74,0,0
2021-02-03 13:10:29,11210,19,173,132,1,60,111,0,14,0,0,14,65,0,0
2021-02-03 13:12:14,2552,85,213,24,1,15,17,0,16,0,0,0,0,0,0
2021-02-03 13:13:59,1961,85,173,19,1,13,12,0,13,0,0,0,0,0,0
2021-02-03 13:15:44,3498,85,173,34,1,19,23,0,26,0,0,0,0,0,0
2021-02-03 13:17:29,8184,19,213,74,1,34,58,8,22,7,19,0,0,0,0
2021-02-03 13:19:14,1931,85,173,19,1,12,12,0,14,0,0,0,0,0,0
2021-02-03 13:20:59,3414,19,213,36,1,20,21,0,17,0,0,7,7,0,0
2021-02-03 13:22:44,2364,85,213,22,1,16,15,0,13,0,0,0,0,0,0
2021-02-03 13:24:29,1961,85,173,19,1,13,12,0,13,0,0,0,0,0,0
