datetime,len_sum,smallest,largest,count_sum,occupied,0x0000,0xbfb8,0xab52,0xffff,0x6493,0x0e91,0x469a,0x0cd0,0xdfb8,0x0e910db012dbfe91
2021-02-03 10:07:29,3139,19,215,35,0,19,22,4,11,8,6,0,0,0,0
2021-02-03 10:08:14,1074,85,173,10,0,7,7,0,6,0,0,0,0,0,0
2021-02-03 10:08:59,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:09:44,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:10:29,1435,19,213,15,0,12,5,0,6,0,0,7,0,0,0
2021-02-03 10:11:14,1627,19,213,17,0,6,14,0,6,0,0,0,8,0,0
2021-02-03 10:11:59,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:12:44,1619,85,213,15,0,9,11,0,10,0,0,0,0,0,0
2021-02-03 10:13:29,838,85,173,8,0,6,5,0,5,0,0,0,0,0,0
2021-02-03 10:14:14,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:14:59,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:15:44,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:16:29,838,85,173,8,0,6,5,0,5,0,0,0,0,0,0
2021-02-03 10:17:14,1958,19,213,18,0,10,15,5,6,0,0,0,0,0,0
2021-02-03 10:17:59,3568,19,173,36,0,23,26,0,10,6,7,0,0,0,0
2021-02-03 10:18:44,733,85,173,7,0,5,4,0,5,0,0,0,0,0,0
2021-02-03 10:19:29,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:20:14,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:20:59,2430,19,173,26,0,16,18,0,4,0,0,6,8,0,0
2021-02-03 10:21:44,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:22:29,1361,85,213,13,0,7,9,0,10,0,0,0,0,0,0
2021-02-03 10:23:14,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:23:59,838,85,173,8,0,6,5,0,5,0,0,0,0,0,0
2021-02-03 10:24:44,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:25:29,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:26:14,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:26:59,2055,19,173,21,0,11,18,8,5,0,0,0,0,0,0
2021-02-03 10:27:44,2353,19,173,25,0,15,17,0,10,4,4,0,0,0,0
2021-02-03 10:28:29,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:29:14,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:29:59,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:30:44,2165,19,213,23,0,14,13,0,5,0,0,7,7,0,0
2021-02-03 10:31:29,828,85,173,8,0,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:32:14,1121,85,173,11,0,5,8,0,9,0,0,0,0,0,0
2021-02-03 10:32:59,1336,85,213,12,0,9,9,0,6,0,0,0,0,0,0
2021-02-03 10:33:44,570,95,95,6,0,3,3,0,6,0,0,0,0,0,0
2021-02-03 10:34:29,933,85,173,9,0,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:35:14,4736,19,215,54,1,37,29,0,5,18,0,4,15,0,0
2021-02-03 10:35:59,1988,19,173,24,1,21,5,0,6,0,0,16,0,0,0
2021-02-03 10:36:44,2328,19,213,22,1,12,19,7,6,0,0,0,0,0,0
2021-02-03 10:37:29,2165,19,215,21,1,11,14,0,10,3,4,0,0,0,0
2021-02-03 10:38:14,733,85,173,7,1,5,4,0,5,0,0,0,0,0,0
2021-02-03 10:38:59,570,95,95,6,1,3,3,0,6,0,0,0,0,0,0
2021-02-03 10:39:44,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:40:29,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:41:14,733,85,173,7,1,5,4,0,5,0,0,0,0,0,0
2021-02-03 10:41:59,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:42:44,1724,85,213,16,1,10,12,0,10,0,0,0,0,0,0
2021-02-03 10:43:29,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:44:14,475,95,95,5,1,3,2,0,5,0,0,0,0,0,0
2021-02-03 10:44:59,2327,19,173,23,1,13,20,0,5,0,0,0,8,0,0
2021-02-03 10:45:44,1288,19,173,14,1,12,4,0,5,0,0,7,0,0,0
2021-02-03 10:46:29,733,85,173,7,1,4,5,0,5,0,0,0,0,0,0
2021-02-03 10:47:14,4186,19,173,46,1,25,35,9,10,7,6,0,0,0,0
2021-02-03 10:47:59,1183,85,173,11,1,8,8,0,6,0,0,0,0,0,0
2021-02-03 10:48:44,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:49:29,733,85,173,7,1,5,4,0,5,0,0,0,0,0,0
2021-02-03 10:50:14,570,95,95,6,1,3,3,0,6,0,0,0,0,0,0
2021-02-03 10:50:59,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:51:44,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:52:29,1534,85,213,14,1,10,10,0,8,0,0,0,0,0,0
2021-02-03 10:53:14,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:53:59,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 10:54:44,838,85,173,8,1,6,5,0,5,0,0,0,0,0,0
2021-02-03 10:55:29,2163,19,213,21,1,10,18,0,6,0,0,0,8,0,0
2021-02-03 10:56:14,1416,19,213,14,1,11,5,0,6,0,0,6,0,0,0
2021-02-03 10:56:59,2457,19,213,25,1,14,18,8,6,4,0,0,0,0,0
2021-02-03 10:57:44,3011,19,215,29,1,15,24,0,10,1,8,0,0,0,0
2021-02-03 10:58:29,733,85,173,7,1,5,4,0,5,0,0,0,0,0,0
2021-02-03 10:59:14,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 10:59:59,733,85,173,7,1,4,5,0,5,0,0,0,0,0,0
2021-02-03 11:00:44,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 11:01:29,570,95,95,6,1,3,3,0,6,0,0,0,0,0,0
2021-02-03 11:02:14,1524,85,213,14,1,9,10,0,9,0,0,0,0,0,0
2021-02-03 11:02:59,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 11:03:44,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 11:04:29,933,85,173,9,1,6,6,0,6,0,0,0,0,0,0
2021-02-03 11:05:14,2150,19,173,22,1,11,19,0,6,0,0,0,8,0,0
2021-02-03 11:05:59,1203,19,173,13,1,11,4,0,5,0,0,6,0,0,0
2021-02-03 11:06:44,1892,19,167,20,1,9,17,8,6,0,0,0,0,0,0
2021-02-03 11:07:29,3102,19,215,32,1,22,20,0,9,8,5,0,0,0,0
2021-02-03 11:08:14,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 11:08:59,1462,85,173,14,1,8,10,0,10,0,0,0,0,0,0
2021-02-03 11:09:44,1890,85,173,18,1,9,13,0,14,0,0,0,0,0,0
2021-02-03 11:10:29,1256,85,173,12,1,6,8,0,10,0,0,0,0,0,0
2021-02-03 11:11:14,828,85,173,8,1,5,5,0,6,0,0,0,0,0,0
2021-02-03 11:11:59,863,95,97,9,1,4,5,0,9,0,0,0,0,0,0
