datetime,len_sum,smallest,largest,count_sum,occupied,0x0000,0xbfb8,0xab52,0xffff,0x6493,0x0e91,0x469a,0x0cd0,0xdfb8,0x0e910db012dbfe91
2021-02-03 10:07:14,1227,19,173,13,0,7,10,4,5,0,0,0,0,0,0
2021-02-03 10:07:44,2348,19,215,26,0,15,15,0,8,8,6,0,0,0,0
2021-02-03 10:08:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:08:44,543,85,173,5,0,3,4,0,3,0,0,0,0,0,0
2021-02-03 10:09:14,285,95,95,3,0,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:09:44,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:10:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:10:44,2302,19,213,24,0,14,15,0,4,0,0,7,8,0,0
2021-02-03 10:11:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:11:44,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:12:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:12:44,1171,85,213,11,0,6,8,0,8,0,0,0,0,0,0
2021-02-03 10:13:14,648,85,173,6,0,5,4,0,3,0,0,0,0,0,0
2021-02-03 10:13:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:14:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:14:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:15:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:15:44,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:16:14,285,95,95,3,0,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:16:44,2131,19,213,19,0,12,17,5,4,0,0,0,0,0,0
2021-02-03 10:17:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:17:44,3378,19,173,34,0,22,25,0,8,6,7,0,0,0,0
2021-02-03 10:18:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:18:44,285,95,95,3,0,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:19:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:19:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:20:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:20:44,1982,19,167,22,0,13,15,0,2,0,0,6,8,0,0
2021-02-03 10:21:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:21:44,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:22:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:22:44,1534,85,213,14,0,9,11,0,8,0,0,0,0,0,0
2021-02-03 10:23:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:23:44,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:24:14,285,95,95,3,0,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:24:44,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:25:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:25:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:26:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:26:44,1702,19,167,18,0,8,16,8,4,0,0,0,0,0,0
2021-02-03 10:27:14,1033,19,173,11,0,9,4,0,5,4,0,0,0,0,0
2021-02-03 10:27:44,1673,19,173,17,0,9,15,0,6,0,4,0,0,0,0
2021-02-03 10:28:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:28:44,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:29:14,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:29:44,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:30:14,285,95,95,3,0,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:30:44,2070,19,213,22,0,13,13,0,4,0,0,7,7,0,0
2021-02-03 10:31:14,638,85,173,6,0,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:31:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:32:14,931,85,173,9,0,4,7,0,7,0,0,0,0,0,0
2021-02-03 10:32:44,783,85,213,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:33:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:33:44,380,95,95,4,0,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:34:14,743,85,173,7,0,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:34:44,648,85,173,6,0,5,4,0,3,0,0,0,0,0,0
2021-02-03 10:35:14,4278,19,215,50,1,33,26,0,4,18,0,4,15,0,0
2021-02-03 10:35:44,1218,19,173,14,1,12,4,0,4,0,0,8,0,0,0
2021-02-03 10:36:14,960,19,167,12,1,10,2,0,4,0,0,8,0,0,0
2021-02-03 10:36:44,2138,19,213,20,1,11,18,7,4,0,0,0,0,0,0
2021-02-03 10:37:14,1471,19,215,15,1,6,9,0,8,3,4,0,0,0,0
2021-02-03 10:37:44,884,85,173,8,1,6,6,0,4,0,0,0,0,0,0
2021-02-03 10:38:14,543,85,173,5,1,4,3,0,3,0,0,0,0,0,0
2021-02-03 10:38:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:39:14,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:39:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:40:14,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:40:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:41:14,543,85,173,5,1,4,3,0,3,0,0,0,0,0,0
2021-02-03 10:41:44,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:42:14,768,95,97,8,1,3,5,0,8,0,0,0,0,0,0
2021-02-03 10:42:44,1146,85,213,10,1,8,8,0,4,0,0,0,0,0,0
2021-02-03 10:43:14,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:43:44,743,85,173,7,1,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:44:14,285,95,95,3,1,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:44:44,743,85,173,7,1,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:45:14,2032,19,173,20,1,11,18,0,3,0,0,0,8,0,0
2021-02-03 10:45:44,840,19,167,10,1,9,1,0,3,0,0,7,0,0,0
2021-02-03 10:46:14,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:46:44,1626,19,167,18,1,7,17,9,3,0,0,0,0,0,0
2021-02-03 10:47:14,2655,19,173,29,1,18,19,0,8,7,6,0,0,0,0
2021-02-03 10:47:44,993,85,173,9,1,7,7,0,4,0,0,0,0,0,0
2021-02-03 10:48:14,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:48:44,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:49:14,285,95,95,3,1,2,1,0,3,0,0,0,0,0,0
2021-02-03 10:49:44,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:50:14,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:50:44,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:51:14,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
2021-02-03 10:51:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:52:14,1344,85,213,12,1,9,9,0,6,0,0,0,0,0,0
2021-02-03 10:52:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:53:14,743,85,173,7,1,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:53:44,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:54:14,743,85,173,7,1,5,5,0,4,0,0,0,0,0,0
2021-02-03 10:54:44,648,85,173,6,1,5,4,0,3,0,0,0,0,0,0
2021-02-03 10:55:14,1973,19,213,19,1,9,17,0,4,0,0,0,8,0,0
2021-02-03 10:55:44,1226,19,213,12,1,10,4,0,4,0,0,6,0,0,0
2021-02-03 10:56:14,380,95,95,4,1,2,2,0,4,0,0,0,0,0,0
2021-02-03 10:56:44,1971,19,213,19,1,9,17,8,4,0,0,0,0,0,0
2021-02-03 10:57:14,2859,19,215,29,1,16,21,0,8,5,8,0,0,0,0
2021-02-03 10:57:44,638,85,173,6,1,4,4,0,4,0,0,0,0,0,0
