best_percent, best_zeros, n, k, alpha, fold, true_positive, true_negative, false_negative, false_positive, ones_count, zeros_count, filename
0.696165191740413, 110, 100, 10, 0.001, 10, 0.9619565217391305, 0.38064516129032255, 0.6193548387096774, 0.03804347826086957, 184, 155, 60_second_0.001_alpha_10_fold_100_n_10_k_final_score.csv
0.3185840707964602, 101, 100, 1, 0.001, 10, 0.7560975609756098, 0.17898832684824903, 0.8210116731517509, 0.24390243902439024, 82, 257, 60_second_0.001_alpha_10_fold_100_n_1_k_final_score.csv
0.4778761061946903, 102, 100, 2, 0.001, 10, 0.8582089552238806, 0.22926829268292684, 0.7707317073170732, 0.1417910447761194, 134, 205, 60_second_0.001_alpha_10_fold_100_n_2_k_final_score.csv
0.504424778761062, 103, 100, 3, 0.001, 10, 0.8723404255319149, 0.24242424242424243, 0.7575757575757576, 0.1276595744680851, 141, 198, 60_second_0.001_alpha_10_fold_100_n_3_k_final_score.csv
0.5486725663716814, 104, 100, 4, 0.001, 10, 0.8896103896103896, 0.2648648648648649, 0.7351351351351352, 0.11038961038961038, 154, 185, 60_second_0.001_alpha_10_fold_100_n_4_k_final_score.csv
0.5781710914454278, 105, 100, 5, 0.001, 10, 0.9012345679012346, 0.2824858757062147, 0.7175141242937854, 0.09876543209876543, 162, 177, 60_second_0.001_alpha_10_fold_100_n_5_k_final_score.csv
0.6106194690265486, 106, 100, 6, 0.001, 10, 0.9122807017543859, 0.30357142857142855, 0.6964285714285714, 0.08771929824561403, 171, 168, 60_second_0.001_alpha_10_fold_100_n_6_k_final_score.csv
0.6873156342182891, 107, 100, 7, 0.001, 10, 0.9282051282051282, 0.3611111111111111, 0.6388888888888888, 0.07179487179487179, 195, 144, 60_second_0.001_alpha_10_fold_100_n_7_k_final_score.csv
0.640117994100295, 108, 100, 8, 0.001, 10, 0.9314285714285714, 0.32926829268292684, 0.6707317073170732, 0.06857142857142857, 175, 164, 60_second_0.001_alpha_10_fold_100_n_8_k_final_score.csv
0.6696165191740413, 109, 100, 9, 0.001, 10, 0.9707602339181286, 0.3630952380952381, 0.6369047619047619, 0.029239766081871343, 171, 168, 60_second_0.001_alpha_10_fold_100_n_9_k_final_score.csv
0.289044289044289, 11, 10, 1, 0.001, 10, 0.8292682926829268, 0.23195876288659795, 0.7680412371134021, 0.17073170731707318, 41, 388, 60_second_0.001_alpha_10_fold_10_n_1_k_final_score.csv
0.27505827505827507, 12, 10, 2, 0.001, 10, 0.9565217391304348, 0.23645320197044334, 0.7635467980295566, 0.043478260869565216, 23, 406, 60_second_0.001_alpha_10_fold_10_n_2_k_final_score.csv
0.2727272727272727, 13, 10, 3, 0.001, 10, 0.8571428571428571, 0.23192019950124687, 0.7680798004987531, 0.14285714285714285, 28, 401, 60_second_0.001_alpha_10_fold_10_n_3_k_final_score.csv
0.28438228438228436, 14, 10, 4, 0.001, 10, 0.8787878787878788, 0.23484848484848486, 0.7651515151515151, 0.12121212121212122, 33, 396, 60_second_0.001_alpha_10_fold_10_n_4_k_final_score.csv
0.2913752913752914, 15, 10, 5, 0.001, 10, 0.8888888888888888, 0.2366412213740458, 0.7633587786259542, 0.1111111111111111, 36, 393, 60_second_0.001_alpha_10_fold_10_n_5_k_final_score.csv
0.30303030303030304, 16, 10, 6, 0.001, 10, 0.851063829787234, 0.2356020942408377, 0.7643979057591623, 0.14893617021276595, 47, 382, 60_second_0.001_alpha_10_fold_10_n_6_k_final_score.csv
0.3006993006993007, 17, 10, 7, 0.001, 10, 0.82, 0.23218997361477572, 0.7678100263852242, 0.18, 50, 379, 60_second_0.001_alpha_10_fold_10_n_7_k_final_score.csv
0.3006993006993007, 18, 10, 8, 0.001, 10, 0.8076923076923077, 0.23076923076923078, 0.7692307692307693, 0.19230769230769232, 52, 377, 60_second_0.001_alpha_10_fold_10_n_8_k_final_score.csv
0.2703962703962704, 19, 10, 9, 0.001, 10, 0.7021276595744681, 0.21727748691099477, 0.7827225130890052, 0.2978723404255319, 47, 382, 60_second_0.001_alpha_10_fold_10_n_9_k_final_score.csv
0.33490566037735847, 25, 15, 10, 0.001, 10, 0.8676470588235294, 0.23314606741573032, 0.7668539325842697, 0.1323529411764706, 68, 356, 60_second_0.001_alpha_10_fold_15_n_10_k_final_score.csv
0.36556603773584906, 16, 15, 1, 0.001, 10, 0.8705882352941177, 0.23893805309734514, 0.7610619469026548, 0.12941176470588237, 85, 339, 60_second_0.001_alpha_10_fold_15_n_1_k_final_score.csv
0.3089622641509434, 17, 15, 2, 0.001, 10, 0.8421052631578947, 0.22615803814713897, 0.773841961852861, 0.15789473684210525, 57, 367, 60_second_0.001_alpha_10_fold_15_n_2_k_final_score.csv
0.330188679245283, 18, 15, 3, 0.001, 10, 0.9285714285714286, 0.2391304347826087, 0.7608695652173914, 0.07142857142857142, 56, 368, 60_second_0.001_alpha_10_fold_15_n_3_k_final_score.csv
0.29009433962264153, 19, 15, 4, 0.001, 10, 0.918918918918919, 0.22997416020671835, 0.7700258397932817, 0.08108108108108109, 37, 387, 60_second_0.001_alpha_10_fold_15_n_4_k_final_score.csv
0.29009433962264153, 20, 15, 5, 0.001, 10, 0.9428571428571428, 0.23136246786632392, 0.7686375321336761, 0.05714285714285714, 35, 389, 60_second_0.001_alpha_10_fold_15_n_5_k_final_score.csv
0.2806603773584906, 21, 15, 6, 0.001, 10, 0.8857142857142857, 0.2262210796915167, 0.7737789203084833, 0.11428571428571428, 35, 389, 60_second_0.001_alpha_10_fold_15_n_6_k_final_score.csv
