Accuracy,pad,file
0.33490566,24, 60_second_0.001_alpha_2_fold_15_n_9_k_final_score.csv
0.410628019,35, 60_second_0.001_alpha_2_fold_25_n_10_k_final_score.csv
0.362318841,26, 60_second_0.001_alpha_2_fold_25_n_1_k_final_score.csv
0.367149758,27, 60_second_0.001_alpha_2_fold_25_n_2_k_final_score.csv
0.352657005,28, 60_second_0.001_alpha_2_fold_25_n_3_k_final_score.csv
0.316425121,29, 60_second_0.001_alpha_2_fold_25_n_4_k_final_score.csv
0.330917874,30, 60_second_0.001_alpha_2_fold_25_n_5_k_final_score.csv
0.333333333,31, 60_second_0.001_alpha_2_fold_25_n_6_k_final_score.csv
0.342995169,32, 60_second_0.001_alpha_2_fold_25_n_7_k_final_score.csv
0.352657005,33, 60_second_0.001_alpha_2_fold_25_n_8_k_final_score.csv
0.388888889,34, 60_second_0.001_alpha_2_fold_25_n_9_k_final_score.csv
0.444730077,60, 60_second_0.001_alpha_2_fold_50_n_10_k_final_score.csv
0.285347044,51, 60_second_0.001_alpha_2_fold_50_n_1_k_final_score.csv
0.354755784,52, 60_second_0.001_alpha_2_fold_50_n_2_k_final_score.csv
0.406169666,53, 60_second_0.001_alpha_2_fold_50_n_3_k_final_score.csv
0.406169666,54, 60_second_0.001_alpha_2_fold_50_n_4_k_final_score.csv
0.367609254,55, 60_second_0.001_alpha_2_fold_50_n_5_k_final_score.csv
0.347043702,56, 60_second_0.001_alpha_2_fold_50_n_6_k_final_score.csv
0.359897172,57, 60_second_0.001_alpha_2_fold_50_n_7_k_final_score.csv
0.377892031,58, 60_second_0.001_alpha_2_fold_50_n_8_k_final_score.csv
0.385604113,59, 60_second_0.001_alpha_2_fold_50_n_9_k_final_score.csv
0.764011799,110, 60_second_0.001_alpha_3_fold_100_n_10_k_final_score.csv
0.303834808,101, 60_second_0.001_alpha_3_fold_100_n_1_k_final_score.csv
0.492625369,102, 60_second_0.001_alpha_3_fold_100_n_2_k_final_score.csv
0.519174041,103, 60_second_0.001_alpha_3_fold_100_n_3_k_final_score.csv
0.513274336,104, 60_second_0.001_alpha_3_fold_100_n_4_k_final_score.csv
0.533923304,105, 60_second_0.001_alpha_3_fold_100_n_5_k_final_score.csv
0.601769912,106, 60_second_0.001_alpha_3_fold_100_n_6_k_final_score.csv
0.554572271,107, 60_second_0.001_alpha_3_fold_100_n_7_k_final_score.csv
0.648967552,108, 60_second_0.001_alpha_3_fold_100_n_8_k_final_score.csv
0.616519174,109, 60_second_0.001_alpha_3_fold_100_n_9_k_final_score.csv
0.368298368,11, 60_second_0.001_alpha_3_fold_10_n_1_k_final_score.csv
0.296037296,12, 60_second_0.001_alpha_3_fold_10_n_2_k_final_score.csv
0.296037296,13, 60_second_0.001_alpha_3_fold_10_n_3_k_final_score.csv
0.289044289,14, 60_second_0.001_alpha_3_fold_10_n_4_k_final_score.csv
