datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:04:02,8067,19,213,166,0,34,60,47,9,7,9,0,0
2021-03-23 00:08:02,5992,19,215,116,0,31,42,35,0,0,0,8,0
2021-03-23 00:12:02,7435,19,215,150,0,33,45,50,8,7,0,0,7
2021-03-23 00:16:02,6090,19,213,120,0,34,43,35,0,0,8,0,0
2021-03-23 00:20:02,6890,19,173,136,0,33,47,43,0,0,0,8,5
2021-03-23 00:24:02,8124,19,213,164,0,35,58,48,8,7,8,0,0
2021-03-23 00:28:02,6014,19,215,116,0,33,41,37,0,0,0,5,0
2021-03-23 00:32:02,7090,19,213,144,0,31,43,49,8,5,0,0,8
2021-03-23 00:36:02,8219,19,215,158,0,34,62,46,0,0,8,8,0
2021-03-23 00:40:02,7906,19,215,152,0,52,48,46,0,0,0,0,6
2021-03-23 00:44:02,8124,19,213,164,0,35,58,48,8,7,8,0,0
2021-03-23 00:48:02,6433,19,173,126,0,35,46,37,0,0,0,8,0
2021-03-23 00:52:02,6893,19,213,138,0,30,41,47,8,7,0,0,5
2021-03-23 00:56:02,7979,19,215,154,0,35,60,44,0,0,8,7,0
2021-03-23 01:00:02,5575,19,173,110,0,34,33,38,0,0,0,0,5
2021-03-23 01:04:02,7177,19,213,146,0,34,49,41,8,7,7,0,0
2021-03-23 01:08:02,6331,19,215,122,0,33,44,37,0,0,0,8,0
2021-03-23 01:12:02,6455,19,215,134,0,31,37,45,7,7,0,0,7
2021-03-23 01:16:02,6869,19,213,138,0,34,52,36,0,0,8,8,0
2021-03-23 01:20:02,5746,19,173,112,0,35,34,38,0,0,0,0,5
2021-03-23 01:24:02,8037,19,213,162,0,34,57,48,8,7,8,0,0
2021-03-23 01:28:02,6518,19,215,124,0,35,45,38,0,0,0,6,0
2021-03-23 01:32:02,7082,19,213,144,0,30,41,50,8,7,0,0,8
2021-03-23 01:36:02,7173,19,215,134,0,35,50,38,0,0,4,7,0
2021-03-23 01:40:02,6424,19,215,124,0,38,38,42,0,0,0,0,6
2021-03-23 01:44:02,10020,19,213,200,0,48,73,54,10,7,8,0,0
2021-03-23 01:48:02,5967,19,173,118,0,35,42,34,0,0,0,7,0
2021-03-23 01:52:02,6213,19,213,126,0,29,35,43,7,7,0,0,5
2021-03-23 01:56:02,7308,19,215,136,0,34,52,39,0,0,8,3,0
2021-03-23 02:00:02,5925,19,173,118,0,34,35,41,0,0,0,0,8
2021-03-23 02:04:02,7577,19,213,154,0,34,53,45,7,7,8,0,0
2021-03-23 02:08:02,6178,19,215,120,0,35,43,34,0,0,0,8,0
2021-03-23 02:12:02,6979,19,215,142,0,31,41,49,7,7,0,0,7
2021-03-23 02:16:02,7114,19,213,140,0,34,53,37,0,0,8,8,0
2021-03-23 02:20:02,5746,19,173,112,0,35,34,38,0,0,0,0,5
2021-03-23 02:24:02,8041,19,213,162,0,32,58,49,8,7,8,0,0
2021-03-23 02:28:02,6908,19,215,136,0,36,42,44,0,0,0,6,8
2021-03-23 02:32:02,6553,19,213,130,0,34,44,40,8,4,0,0,0
2021-03-23 02:36:02,8029,19,215,150,0,31,59,44,0,0,8,8,0
2021-03-23 02:40:02,5914,19,215,116,0,34,34,41,0,0,0,0,7
2021-03-23 02:44:02,10153,19,213,198,0,47,75,56,7,5,8,0,0
2021-03-23 02:48:02,6392,19,173,128,0,39,41,36,0,0,0,7,5
2021-03-23 02:52:02,7003,19,213,134,0,34,43,46,4,7,0,0,0
2021-03-23 02:56:02,6936,19,215,132,0,31,50,37,0,0,8,6,0
2021-03-23 03:00:02,6050,19,173,120,0,34,35,43,0,0,0,0,8
2021-03-23 03:04:02,7859,19,213,158,0,34,55,47,8,7,7,0,0
2021-03-23 03:08:02,6783,19,215,134,0,34,42,43,0,0,0,8,7
2021-03-23 03:12:02,7332,19,213,144,0,34,48,47,8,7,0,0,0
2021-03-23 03:16:02,7100,19,213,140,0,31,54,39,0,0,8,8,0
2021-03-23 03:20:02,5337,19,173,106,0,34,31,36,0,0,0,0,5
2021-03-23 03:24:02,8759,19,213,178,0,35,65,53,9,7,9,0,0
2021-03-23 03:28:02,6716,19,215,132,0,33,42,43,0,0,0,6,8
2021-03-23 03:32:02,7427,19,213,146,0,35,49,47,8,7,0,0,0
2021-03-23 03:36:02,6547,19,215,130,0,30,49,35,0,0,8,8,0
2021-03-23 03:40:02,5455,19,215,106,0,35,33,35,0,0,0,0,3
2021-03-23 03:44:02,7734,19,213,156,0,34,54,46,8,7,7,0,0
2021-03-23 03:48:02,9612,19,173,184,0,50,65,56,0,0,0,8,5
2021-03-23 03:52:02,7342,19,213,144,0,35,48,46,8,7,0,0,0
2021-03-23 03:56:02,7205,19,215,138,0,31,53,40,0,0,8,6,0
2021-03-23 04:00:02,5582,19,173,112,0,34,31,39,0,0,0,0,8
2021-03-23 04:04:02,8352,19,213,164,0,34,58,51,9,7,5,0,0
2021-03-23 04:08:02,6888,19,215,136,0,34,45,42,0,0,0,8,7
2021-03-23 04:12:02,7532,19,213,148,0,35,50,48,8,7,0,0,0
2021-03-23 04:16:02,6746,19,213,132,0,29,51,38,0,0,7,7,0
2021-03-23 04:20:02,5498,19,173,108,0,34,32,37,0,0,0,0,5
2021-03-23 04:24:02,8206,19,213,168,0,34,60,48,8,7,6,5,0
2021-03-23 04:28:02,6487,0,215,124,0,35,39,43,0,0,0,1,6
2021-03-23 04:32:02,7074,19,213,140,0,34,46,45,8,7,0,0,0
2021-03-23 04:36:02,7243,19,215,142,0,34,54,38,0,0,8,8,0
2021-03-23 04:40:02,5468,19,215,108,0,31,32,38,0,0,0,0,7
2021-03-23 04:44:02,9088,19,213,184,0,33,68,53,8,7,8,7,0
2021-03-23 04:48:02,5746,19,173,112,0,35,34,38,0,0,0,0,5
2021-03-23 04:52:02,8613,19,213,170,0,50,58,48,7,7,0,0,0
2021-03-23 04:56:02,7159,19,215,138,0,34,52,39,0,0,7,6,0
2021-03-23 05:00:02,4958,19,173,100,0,31,27,35,0,0,0,0,7
2021-03-23 05:04:02,10106,19,215,200,0,34,76,59,8,7,8,8,0
2021-03-23 05:08:02,5887,19,215,114,0,33,34,40,0,0,0,0,7
2021-03-23 05:12:02,7264,19,213,144,0,36,47,46,8,7,0,0,0
2021-03-23 05:16:02,7833,19,213,154,0,34,60,43,0,0,8,9,0
2021-03-23 05:20:02,4759,19,173,94,0,30,27,32,0,0,0,0,5
2021-03-23 05:24:02,9790,19,215,192,0,35,72,57,8,7,7,6,0
2021-03-23 05:28:02,5935,19,173,118,0,35,34,41,0,0,0,0,8
2021-03-23 05:32:02,7019,19,213,138,0,34,45,44,8,7,0,0,0
2021-03-23 05:36:02,7757,19,215,150,0,33,58,43,0,0,8,8,0
2021-03-23 05:40:02,5185,19,215,102,0,29,28,38,0,0,0,0,7
2021-03-23 05:44:02,9260,19,213,188,0,35,70,53,8,7,8,7,0
2021-03-23 05:48:02,5651,19,173,110,0,34,34,37,0,0,0,0,5
2021-03-23 05:52:02,6872,19,213,136,0,33,44,44,8,7,0,0,0
