datetime,len_sum,smallest,largest,count_sum,occupied,0xffff,0xbfb8,0x0000,0x0cd0,0x469a,0xab52,0x0e91,0x6493
2021-03-23 00:04:02,7820,85,213,140,0,34,50,44,4,4,4,0,0
2021-03-23 00:08:02,5916,85,215,108,0,31,38,35,0,0,0,4,0
2021-03-23 00:12:02,7245,85,215,130,0,33,41,44,4,4,0,0,4
2021-03-23 00:16:02,6014,85,213,112,0,34,39,35,0,0,4,0,0
2021-03-23 00:20:02,6776,85,173,124,0,33,43,41,0,0,0,4,3
2021-03-23 00:24:02,7915,85,213,142,0,35,50,45,4,4,4,0,0
2021-03-23 00:28:02,5957,85,215,110,0,33,38,37,0,0,0,2,0
2021-03-23 00:32:02,6919,85,213,126,0,31,39,44,4,3,0,0,5
2021-03-23 00:36:02,8067,85,215,142,0,34,54,46,0,0,4,4,0
2021-03-23 00:40:02,7868,85,215,148,0,52,48,44,0,0,0,0,4
2021-03-23 00:44:02,7915,85,213,142,0,35,50,45,4,4,4,0,0
2021-03-23 00:48:02,6357,85,173,118,0,35,42,37,0,0,0,4,0
2021-03-23 00:52:02,6722,85,213,120,0,30,37,42,4,4,0,0,3
2021-03-23 00:56:02,7827,85,215,138,0,35,52,44,0,0,4,3,0
2021-03-23 01:00:02,5537,85,173,106,0,34,33,36,0,0,0,0,3
2021-03-23 01:04:02,6987,85,213,126,0,34,42,38,4,4,4,0,0
2021-03-23 01:08:02,6255,85,215,114,0,33,40,37,0,0,0,4,0
2021-03-23 01:12:02,6265,85,215,114,0,31,33,39,3,4,0,0,4
2021-03-23 01:16:02,6717,85,213,122,0,34,44,36,0,0,4,4,0
2021-03-23 01:20:02,5708,85,173,108,0,35,34,36,0,0,0,0,3
2021-03-23 01:24:02,7828,85,213,140,0,34,49,45,4,4,4,0,0
2021-03-23 01:28:02,6461,85,215,118,0,35,42,38,0,0,0,3,0
2021-03-23 01:32:02,6892,85,213,124,0,30,37,44,4,4,0,0,5
2021-03-23 01:36:02,7078,85,215,124,0,35,45,38,0,0,2,4,0
2021-03-23 01:40:02,6386,85,215,120,0,38,38,40,0,0,0,0,4
2021-03-23 01:44:02,9792,85,213,176,0,48,64,51,5,4,4,0,0
2021-03-23 01:48:02,5910,85,173,112,0,35,39,34,0,0,0,4,0
2021-03-23 01:52:02,6061,85,213,110,0,29,32,38,4,4,0,0,3
2021-03-23 01:56:02,7213,85,215,126,0,34,47,39,0,0,4,2,0
2021-03-23 02:00:02,5868,85,173,112,0,34,35,38,0,0,0,0,5
2021-03-23 02:04:02,7387,85,213,134,0,34,46,42,4,4,4,0,0
2021-03-23 02:08:02,6102,85,215,112,0,35,39,34,0,0,0,4,0
2021-03-23 02:12:02,6789,85,215,122,0,31,37,43,3,4,0,0,4
2021-03-23 02:16:02,6981,85,213,126,0,34,46,37,0,0,5,4,0
2021-03-23 02:20:02,5708,85,173,108,0,35,34,36,0,0,0,0,3
2021-03-23 02:24:02,7832,85,213,140,0,32,50,46,4,4,4,0,0
2021-03-23 02:28:02,6794,85,215,124,0,36,39,41,0,0,0,3,5
2021-03-23 02:32:02,6439,85,213,118,0,34,40,38,4,2,0,0,0
